stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	2	snapshot.log
toolchain	0	3	toolchain.log
frozen-install	0	12	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	14	deploy-guards.log
version-guards	0	3	version-guards.log
local-ci-guards	0	13	local-ci-guards.log
commerce-parity-guards	0	2	commerce-parity-guards.log
browser-extension-tests	0	1	browser-extension-tests.log
backend-unit	0	794	backend-unit.log
backend-integration	0	570	backend-integration.log
backend-lint	3	1	backend-lint.log
