stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	2	snapshot.log
toolchain	0	2	toolchain.log
frozen-install	0	6	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	5	deploy-guards.log
version-guards	0	2	version-guards.log
local-ci-guards	0	11	local-ci-guards.log
commerce-parity-guards	0	1	commerce-parity-guards.log
backend-unit	0	625	backend-unit.log
backend-integration	0	653	backend-integration.log
backend-lint	0	398	backend-lint.log
frontend-lint	0	13	frontend-lint.log
frontend-typecheck	0	21	frontend-typecheck.log
frontend-tests	0	191	frontend-tests.log
frontend-build	0	118	frontend-build.log
backend-security	0	29	backend-security.log
frontend-security	0	1	frontend-security.log
