stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	1	snapshot.log
toolchain	0	2	toolchain.log
frozen-install	0	5	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	6	deploy-guards.log
version-guards	0	1	version-guards.log
local-ci-guards	0	11	local-ci-guards.log
commerce-parity-guards	0	1	commerce-parity-guards.log
backend-unit	0	510	backend-unit.log
backend-integration	0	403	backend-integration.log
backend-lint	0	401	backend-lint.log
frontend-lint	0	18	frontend-lint.log
frontend-typecheck	0	28	frontend-typecheck.log
frontend-tests	0	153	frontend-tests.log
frontend-build	0	70	frontend-build.log
backend-security	0	14	backend-security.log
frontend-security	0	2	frontend-security.log
