stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	3	snapshot.log
toolchain	0	2	toolchain.log
frozen-install	0	40	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	24	deploy-guards.log
version-guards	0	3	version-guards.log
local-ci-guards	0	14	local-ci-guards.log
commerce-parity-guards	0	2	commerce-parity-guards.log
browser-extension-tests	0	3	browser-extension-tests.log
backend-unit	0	1229	backend-unit.log
backend-integration	0	776	backend-integration.log
backend-lint	0	785	backend-lint.log
frontend-lint	0	16	frontend-lint.log
frontend-typecheck	0	34	frontend-typecheck.log
frontend-tests	0	235	frontend-tests.log
frontend-build	0	73	frontend-build.log
backend-security	0	19	backend-security.log
frontend-security	0	3	frontend-security.log
