stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	10	snapshot.log
toolchain	0	7	toolchain.log
frozen-install	0	56	frozen-install.log
acceptance-layout	0	1	acceptance-layout.log
deploy-guards	0	30	deploy-guards.log
version-guards	0	15	version-guards.log
local-ci-guards	0	61	local-ci-guards.log
commerce-parity-guards	0	26	commerce-parity-guards.log
browser-extension-tests	0	14	browser-extension-tests.log
backend-unit	0	3209	backend-unit.log
backend-integration	0	2532	backend-integration.log
backend-lint	0	557	backend-lint.log
frontend-lint	0	20	frontend-lint.log
frontend-typecheck	0	38	frontend-typecheck.log
frontend-tests	0	179	frontend-tests.log
frontend-build	0	114	frontend-build.log
backend-security	0	17	backend-security.log
frontend-security	0	2	frontend-security.log
