stage	exit_code	seconds	log
source-preflight	0	1	source-preflight.log
snapshot	0	1	snapshot.log
toolchain	0	3	toolchain.log
frozen-install	0	10	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	12	deploy-guards.log
version-guards	0	2	version-guards.log
local-ci-guards	0	22	local-ci-guards.log
commerce-parity-guards	0	2	commerce-parity-guards.log
browser-extension-tests	0	2	browser-extension-tests.log
backend-unit	0	894	backend-unit.log
backend-integration	0	498	backend-integration.log
backend-lint	0	494	backend-lint.log
frontend-lint	0	19	frontend-lint.log
frontend-typecheck	0	29	frontend-typecheck.log
frontend-tests	0	144	frontend-tests.log
frontend-build	0	77	frontend-build.log
backend-security	0	23	backend-security.log
frontend-security	0	3	frontend-security.log
