stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	1	snapshot.log
toolchain	0	2	toolchain.log
frozen-install	0	5	frozen-install.log
acceptance-layout	0	1	acceptance-layout.log
deploy-guards	0	5	deploy-guards.log
version-guards	0	1	version-guards.log
local-ci-guards	0	11	local-ci-guards.log
commerce-parity-guards	0	1	commerce-parity-guards.log
browser-extension-tests	0	0	browser-extension-tests.log
backend-unit	0	480	backend-unit.log
backend-integration	2	465	backend-integration.log
